29.06.2026 01:38:17 | Fire=0 | Smoke=1
29.06.2026 01:38:17 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=2
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:18 | Fire=0 | Smoke=1
29.06.2026 01:38:19 | Fire=0 | Smoke=1
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=1
29.06.2026 01:38:19 | Fire=0 | Smoke=1
29.06.2026 01:38:19 | Fire=0 | Smoke=1
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:19 | Fire=0 | Smoke=2
29.06.2026 01:38:20 | Fire=0 | Smoke=2
29.06.2026 01:38:20 | Fire=0 | Smoke=2
29.06.2026 01:38:20 | Fire=0 | Smoke=2
29.06.2026 01:38:20 | Fire=0 | Smoke=2
29.06.2026 01:38:20 | Fire=1 | Smoke=1
29.06.2026 01:38:20 | Fire=1 | Smoke=2
29.06.2026 01:38:20 | Fire=1 | Smoke=2
29.06.2026 01:38:20 | Fire=1 | Smoke=2
29.06.2026 01:38:20 | Fire=1 | Smoke=1
29.06.2026 01:38:20 | Fire=1 | Smoke=1
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:21 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=1
29.06.2026 01:38:22 | Fire=1 | Smoke=1
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=1
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=2 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:22 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=2
29.06.2026 01:38:23 | Fire=1 | Smoke=1
29.06.2026 01:38:23 | Fire=1 | Smoke=1
29.06.2026 01:38:23 | Fire=1 | Smoke=1
29.06.2026 01:38:23 | Fire=1 | Smoke=1
29.06.2026 01:38:23 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=1 | Smoke=1
29.06.2026 01:38:24 | Fire=2 | Smoke=1
29.06.2026 01:38:25 | Fire=1 | Smoke=1
29.06.2026 01:38:25 | Fire=1 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=1
29.06.2026 01:38:25 | Fire=0 | Smoke=2
29.06.2026 01:38:26 | Fire=0 | Smoke=1
29.06.2026 01:38:26 | Fire=0 | Smoke=1
29.06.2026 01:38:26 | Fire=0 | Smoke=1
29.06.2026 01:38:26 | Fire=0 | Smoke=1
29.06.2026 01:38:26 | Fire=0 | Smoke=1
29.06.2026 01:38:26 | Fire=1 | Smoke=1
29.06.2026 01:38:26 | Fire=0 | Smoke=1
29.06.2026 01:38:26 | Fire=1 | Smoke=1
29.06.2026 01:38:26 | Fire=2 | Smoke=1
29.06.2026 01:38:26 | Fire=2 | Smoke=1
29.06.2026 01:38:26 | Fire=1 | Smoke=1
29.06.2026 01:38:26 | Fire=1 | Smoke=1
29.06.2026 01:38:26 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=2 | Smoke=1
29.06.2026 01:38:27 | Fire=2 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=2 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=2 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:27 | Fire=1 | Smoke=1
29.06.2026 01:38:28 | Fire=2 | Smoke=1
29.06.2026 01:38:28 | Fire=2 | Smoke=1
29.06.2026 01:38:28 | Fire=1 | Smoke=1
29.06.2026 01:38:28 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=2 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=1 | Smoke=1
29.06.2026 01:38:29 | Fire=2 | Smoke=1
29.06.2026 01:38:29 | Fire=2 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=2 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:30 | Fire=2 | Smoke=1
29.06.2026 01:38:30 | Fire=2 | Smoke=1
29.06.2026 01:38:30 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=0 | Smoke=1
29.06.2026 01:38:31 | Fire=0 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
