epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2313,0.76695,0.5701,1.08065,0.61167,0.44641,0.44477,0.23012,2.06573,2.32432,2.2214,0.000546984,0.000546984,0.000546984
2,42.1844,0.84343,0.61016,1.11981,0.48888,0.45172,0.40286,0.19543,2.07685,2.35797,2.20245,0.00104807,0.00104807,0.00104807
3,59.8181,0.85569,0.62128,1.12314,0.46496,0.42187,0.40293,0.1892,2.07397,2.08633,2.17003,0.00149414,0.00149414,0.00149414
4,77.5916,0.89815,0.66842,1.16679,0.47489,0.43513,0.38487,0.18361,2.05919,2.41061,2.18217,0.00141945,0.00141945,0.00141945
5,94.7628,0.87587,0.64773,1.1352,0.5133,0.36792,0.37028,0.19001,2.08036,2.40611,2.13668,0.00133693,0.00133693,0.00133693
6,113.427,0.89271,0.656,1.16263,0.47312,0.44693,0.42241,0.20352,2.04628,2.24095,2.1284,0.00125442,0.00125442,0.00125442
7,140.083,0.87568,0.64297,1.13124,0.50394,0.43405,0.43127,0.20721,1.9592,1.98652,2.02152,0.0011719,0.0011719,0.0011719
8,173.787,0.86421,0.64889,1.13154,0.59328,0.39954,0.42639,0.21359,1.95111,2.06503,2.08431,0.00108938,0.00108938,0.00108938
9,193.188,0.8462,0.62266,1.12241,0.42204,0.49978,0.41393,0.20867,2.0169,2.00669,2.13374,0.00100687,0.00100687,0.00100687
10,211.356,0.85057,0.60967,1.11649,0.43893,0.4345,0.37537,0.17527,2.13986,2.24214,2.21268,0.000924352,0.000924352,0.000924352
11,255.317,0.8416,0.56473,1.11872,0.445,0.48786,0.42688,0.20684,2.03737,1.92519,2.15508,0.000841835,0.000841835,0.000841835
12,275.605,0.77026,0.52622,1.07618,0.4708,0.46102,0.41509,0.2067,1.99212,2.03544,2.12423,0.000759318,0.000759318,0.000759318
13,294.304,0.76566,0.49961,1.06474,0.47619,0.44425,0.41145,0.20868,2.10576,2.19496,2.25862,0.000676802,0.000676802,0.000676802
14,313.747,0.72945,0.47579,1.03548,0.50673,0.43248,0.42806,0.21213,2.02711,2.13933,2.16802,0.000594286,0.000594286,0.000594286
15,335.764,0.70079,0.44886,1.01165,0.54333,0.46099,0.4443,0.22221,2.04688,2.03178,2.21966,0.000511769,0.000511769,0.000511769
16,357.736,0.7092,0.4517,1.03073,0.54346,0.46109,0.44302,0.22068,2.00164,2.03037,2.16573,0.000429253,0.000429253,0.000429253
17,378.422,0.67299,0.43541,1.00018,0.51615,0.47762,0.4364,0.2232,1.97225,2.03292,2.14085,0.000346736,0.000346736,0.000346736
18,400.041,0.64217,0.41564,0.98604,0.56534,0.45774,0.45391,0.23402,1.97775,2.09858,2.14414,0.00026422,0.00026422,0.00026422
19,422.156,0.64069,0.41085,0.9957,0.46626,0.51555,0.4364,0.23369,1.93491,2.21637,2.09187,0.000181703,0.000181703,0.000181703
20,443.741,0.61941,0.39356,0.98886,0.4623,0.44425,0.41168,0.22483,1.96716,2.29609,2.14247,9.91865e-05,9.91865e-05,9.91865e-05
